Cryptocurrency,Market Capitalization,% of Top 100
Jito,1.2,100.0
Safe,346.76,99.66
Hank,110.81,24.15
PEKA,86.85,15.92
Lola,62.73,10.31
Icrypex token,33.13,5.16
Niza Global,27.28,4.08
Tellor,23.8,3.44
Waves,19.87,2.79
Jito,15.3,2.1
Safe,12.85,1.74
Hank,12.32,1.64
Bitcoin,11.08,1.45
Ethereum,9.35,1.21
Tether,8.39,1.07
BNB,7.82,0.99
Solana,7.11,0.89
USDC,6.49,0.81
XRP,5.95,0.74
Toncoin,5.5,0.68
Dogecoin,5.35,0.65
Cardano,5.27,0.64
Shiba Inu,4.14,0.5
Avalanche,4.08,0.49
TRON,3.82,0.46
Polkadot,3.76,0.45
Bitcoin Cash,3.73,0.44
Chainlink,3.58,0.42
NEAR Protocol,3.49,0.41
Polygon,3.26,0.38
Litecoin,3.23,0.38
UNUS SED LEO,3.16,0.37
Dai,2.99,0.35
Internet Computer,2.99,0.34
Uniswap,2.96,0.34
Render,2.94,0.34
First Digital USD,2.81,0.32
Ethereum Classic,2.78,0.32
Hedera,2.74,0.31
Pepe,2.56,0.29
Aptos,2.56,0.29
Cosmos,2.52,0.28
Cronos,2.5,0.28
Mantle,2.46,0.28
Immutable,2.45,0.27
Filecoin,2.4,0.27
Stellar,2.34,0.26
OKB,2.25,0.25
dogwifhat,2.09,0.23
Stacks,1.97,0.22
Kaspa,1.92,0.21
Optimism,1.86,0.2
Arbitrum,1.74,0.19
Arweave,1.62,0.18
The Graph,1.54,0.17
Maker,1.55,0.17
Monero,1.49,0.16
VeChain,1.47,0.16
Bittensor,1.4,0.15
Sui,1.4,0.15
Injective,1.37,0.15
THORChain,1.37,0.15
Theta Network,1.26,0.14
Fantom,1.23,0.13
Fetch.ai,1.21,0.13
Celestia,1.2,0.13
FLOKI,1.2,0.13
Lido DAO,1.19,0.13
Bitget Token,1.18,0.13
Core,1.12,0.12
Algorand,1.11,0.12
Bonk,1.1,0.12
Jupiter,1.1,0.12
Sei,1.1,0.12
Akash Network,1.09,0.12
Flow,1.06,0.11
Ethena,1.05,0.11
Aave,1.02,0.11
Gala,1.01,0.11
Worldcoin,990.83,51.16
Bitcoin SV,968.49,33.34
Quant,968.05,24.99
BitTorrent (New),954.92,19.78
Beam,915.92,15.95
SingularityNET,862.2,13.05
Flare,854.12,11.45
dYdX (Native),851.45,10.24
Ondo,848.3,9.26
Chiliz,832.44,8.33
Neo,830.25,7.67
MultiversX,817.96,7.03
Wormhole,818.28,6.57
Axie Infinity,814.66,6.14
Pendle,800.14,5.69
KuCoin Token,758.5,5.11
The Sandbox,741.88,4.76
eCash,731.85,4.49
EOS,726.75,4.27
Tezos,725.0,4.08
JasmyCoin,719.55,3.89
